Date,State,Region,Category,Sub-Category,Sales,Quantity
12/8/2016,Texas,Central,Laptops,Asus,190.92,5
12/27/2019,Texas,Central,Mobile Phones,Motorola ,113.328,9
12/27/2019,Texas,Central,Laptops,Dell,532.3992,3
12/27/2019,Texas,Central,Laptops,HP,212.058,3
12/27/2019,Texas,Central,Cameras ,Sony,371.168,4
9/10/2017,Illinois,Central,Cameras ,Sony,147.168,4
7/17/2016,California,West,Mobile Phones,OnePlus,77.88,2
9/19/2017,Florida,South,Mobile Phones,OnePlus,95.616,2
3/11/2016,Minnesota,Central,Cameras ,Nikon,45.98,2
3/11/2016,Minnesota,Central,Mobile Phones,iPhone,17.46,2
10/20/2018,Michigan,Central,Mobile Phones,OnePlus,211.96,4
6/20/2016,Delaware,East,Cameras ,Nikon,45,3
6/20/2016,Delaware,East,Cameras ,Sony,21.8,2
4/18/2019,Indiana,Central,Mobile Phones,iPhone,38.22,6
4/18/2019,Indiana,Central,Mobile Phones,HTC,75.18,6
4/18/2019,Indiana,Central,Laptops,Asus,6.16,2
4/18/2019,Indiana,Central,Laptops,HP,89.99,1
12/11/2016,New York,East,Mobile Phones,Nokia,15.26,7
12/11/2016,New York,East,Cameras ,Sony,1029.95,5
6/17/2016,New York,East,Mobile Phones,OnePlus,208.56,6
6/17/2016,New York,East,Mobile Phones,Pixel,32.4,5
6/17/2016,New York,East,Laptops,HP,319.41,5
6/17/2016,New York,East,Mobile Phones,Pixel,14.56,2
6/17/2016,New York,East,Cameras ,Nikon,30,2
6/17/2016,New York,East,Mobile Phones,iPhone,48.48,4
6/17/2016,New York,East,Mobile Phones,LG,1.68,1
11/24/2019,California,West,Cameras ,Nikon,13.98,2
11/24/2019,California,West,Mobile Phones,iPhone,25.824,6
11/24/2019,California,West,Mobile Phones,Pixel,146.73,3
11/24/2019,California,West,Laptops,Asus,79.76,4
4/30/2019,Illinois,Central,Laptops,HP,213.115,5
12/5/2018,Arizona,West,Mobile Phones,LG,1113.024,8
12/5/2018,Arizona,West,Cameras ,Sony,167.968,4
6/4/2016,Virginia,South,Mobile Phones,Pixel,75.88,2
9/18/2016,New York,East,Mobile Phones,iPhone,4.616,1
9/14/2017,Michigan,Central,Mobile Phones,Pixel,19.05,3
4/26/2019,Tennessee,South,Laptops,HP,831.936,8
4/26/2019,Tennessee,South,Laptops,Asus,97.04,2
4/26/2019,Tennessee,South,Mobile Phones,OnePlus,72.784,1
12/9/2017,Texas,Central,Mobile Phones,iPhone,1.248,3
12/9/2017,Texas,Central,Laptops,Asus,9.708,3
12/9/2017,Texas,Central,Mobile Phones,OnePlus,27.24,3
11/26/2018,Texas,Central,Laptops,Asus,19.3,5
6/12/2016,Alabama,South,Mobile Phones,Samsung,208.16,1
6/12/2016,Alabama,South,Mobile Phones,iPhone,16.74,3
10/12/2018,California,West,Mobile Phones,LG,14.9,5
10/12/2018,California,West,Mobile Phones,OnePlus,21.39,1
9/3/2019,North Carolina,South,Mobile Phones,Motorola ,200.984,7
11/13/2017,Illinois,Central,Mobile Phones,OnePlus,230.376,3
5/28/2017,South Carolina,South,Laptops,HP,301.96,2
10/26/2017,Minnesota,Central,Cameras ,Nikon,19.99,1
10/26/2017,Minnesota,Central,Mobile Phones,HTC,6.16,2
4/5/2016,Texas,Central,Mobile Phones,OnePlus,158.368,7
9/17/2016,California,West,Mobile Phones,LG,20.1,3
9/17/2016,California,West,Cameras ,Sony,73.584,2
9/17/2016,California,West,Mobile Phones,Pixel,6.48,1
1/31/2019,Minnesota,Central,Mobile Phones,Pixel,12.96,2
1/31/2019,Minnesota,Central,Laptops,Asus,53.34,3
1/31/2019,Minnesota,Central,Mobile Phones,iPhone,32.96,2
11/6/2017,Oregon,West,Mobile Phones,iPhone,5.682,1
11/9/2017,New York,East,Laptops,Asus,96.53,7
6/17/2017,California,West,Mobile Phones,iPhone,51.312,3
9/6/2016,Minnesota,Central,Mobile Phones,Samsung,77.88,6
8/29/2016,Illinois,Central,Mobile Phones,Pixel,64.624,7
8/29/2016,Illinois,Central,Cameras ,Nikon,95.976,3
8/29/2016,Illinois,Central,Mobile Phones,iPhone,1.788,3
12/1/2016,Minnesota,Central,Mobile Phones,Pixel,23.92,4
11/13/2019,Colorado,West,Cameras ,Nikon,238.896,6
11/13/2019,Colorado,West,Laptops,Asus,102.36,3
11/13/2019,Colorado,West,Mobile Phones,iPhone,36.882,3
11/23/2017,North Carolina,South,Cameras ,Nikon,74.112,8
11/23/2017,North Carolina,South,Cameras ,Sony,27.992,1
11/23/2017,North Carolina,South,Mobile Phones,LG,3.304,1
10/15/2019,Illinois,Central,Cameras ,Nikon,339.96,5
12/25/2017,New York,East,Laptops,Asus,41.96,2
11/3/2016,Iowa,Central,Mobile Phones,LG,75.96,2
11/3/2016,Iowa,Central,Mobile Phones,iPhone,27.24,6
8/25/2018,Ohio,East,Mobile Phones,Nokia,40.096,14
8/25/2018,Ohio,East,Mobile Phones,Motorola ,4.72,2
8/25/2018,Ohio,East,Mobile Phones,Pixel,23.976,3
8/25/2018,Ohio,East,Mobile Phones,Motorola ,130.464,6
3/2/2019,Washington,West,Laptops,Lenovo,787.53,3
4/5/2019,Tennessee,South,Mobile Phones,iPhone,157.794,1
6/12/2016,Delaware,East,Laptops,Asus,47.04,3
6/12/2016,Delaware,East,Mobile Phones,iPhone,30.84,4
6/12/2016,Delaware,East,Mobile Phones,OnePlus,226.56,6
6/12/2016,Delaware,East,Mobile Phones,Motorola ,115.02,9
6/12/2016,Delaware,East,Cameras ,Sony,68.04,7
12/26/2018,Texas,Central,Laptops,HP,600.558,3
9/20/2018,Illinois,Central,Laptops,Lenovo,617.7,6
11/5/2017,Arizona,West,Mobile Phones,iPhone,2.388,2
11/5/2017,Arizona,West,Mobile Phones,OnePlus,243.992,7
11/6/2016,California,West,Laptops,HP,81.424,2
11/6/2016,California,West,Laptops,Asus,238.56,3
2/2/2017,Ohio,East,Cameras ,Sony,59.97,5
2/2/2017,Ohio,East,Mobile Phones,Pixel,78.304,2
2/2/2017,Ohio,East,Mobile Phones,Nokia,21.456,9
10/13/2016,California,West,Mobile Phones,Pixel,20.04,3
10/13/2016,California,West,Mobile Phones,Pixel,35.44,1
10/13/2016,California,West,Mobile Phones,LG,11.52,4
10/13/2016,California,West,Mobile Phones,Nokia,4.02,2
10/13/2016,California,West,Mobile Phones,iPhone,76.176,3
10/13/2016,California,West,Mobile Phones,Mi,65.88,6
10/13/2016,California,West,Laptops,Asus,43.12,14
9/5/2016,Pennsylvania,East,Laptops,Asus,82.8,2
9/18/2017,California,West,Mobile Phones,LG,8.82,3
9/18/2017,California,West,Mobile Phones,Motorola ,10.86,3
9/18/2017,California,West,Mobile Phones,Pixel,143.7,3
12/22/2017,Missouri,Central,Mobile Phones,Samsung,839.43,3
9/7/2019,California,West,Mobile Phones,OnePlus,671.93,7
10/22/2018,Ohio,East,Laptops,Asus,93.888,4
12/5/2016,Wisconsin,Central,Cameras ,Sony,384.45,11
12/5/2016,Wisconsin,Central,Cameras ,Sony,149.97,3
12/5/2016,Wisconsin,Central,Laptops,HP,1951.84,8
12/5/2016,Wisconsin,Central,Mobile Phones,iPhone,171.55,5
3/13/2016,Arizona,West,Mobile Phones,Samsung,157.92,5
3/13/2016,Arizona,West,Cameras ,Sony,203.184,2
5/31/2019,California,West,Mobile Phones,Pixel,58.38,7
5/31/2019,California,West,Mobile Phones,Pixel,105.52,4
5/31/2019,California,West,Mobile Phones,OnePlus,80.88,6
5/28/2019,Washington,West,Mobile Phones,LG,6.63,3
3/1/2018,Washington,West,Laptops,HP,457.568,2
11/20/2016,Oklahoma,Central,Mobile Phones,HTC,14.62,2
11/20/2016,Oklahoma,Central,Cameras ,Sony,944.93,7
5/11/2016,California,West,Mobile Phones,Pixel,5.98,1
12/28/2019,Pennsylvania,East,Cameras ,Nikon,54.384,2
11/16/2016,New Mexico,West,Mobile Phones,Motorola ,28.4,5
11/7/2016,Washington,West,Mobile Phones,iPhone,27.68,2
9/8/2018,Texas,Central,Mobile Phones,LG,9.936,3
9/8/2018,Texas,Central,Cameras ,Canon,8159.952,8
9/8/2018,Texas,Central,Mobile Phones,OnePlus,275.928,3
9/8/2018,Texas,Central,Laptops,HP,1740.06,9
9/8/2018,Texas,Central,Mobile Phones,LG,32.064,6
9/8/2018,Texas,Central,Mobile Phones,Samsung,177.98,5
9/8/2018,Texas,Central,Cameras ,Sony,143.976,3
8/5/2018,California,West,Mobile Phones,Pixel,20.94,3
8/5/2018,California,West,Mobile Phones,Pixel,110.96,2
8/5/2018,California,West,Laptops,HP,340.144,7
9/14/2018,Illinois,Central,Mobile Phones,Samsung,52.448,2
9/14/2018,Illinois,Central,Mobile Phones,HTC,20.16,4
4/21/2017,Texas,Central,Mobile Phones,Samsung,97.264,4
11/21/2019,Ohio,East,Laptops,HP,396.802,7
11/21/2019,Ohio,East,Mobile Phones,Mi,15.88,5
12/15/2019,New York,East,Mobile Phones,LG,3.28,1
12/5/2018,Illinois,Central,Mobile Phones,OnePlus,24.816,2
12/5/2018,Illinois,Central,Cameras ,Nikon, 16GB,408.744
11/19/2018,Louisiana,South,Cameras ,Sony,503.96,4
11/19/2018,Louisiana,South,Cameras ,Sony,149.95,5
11/19/2018,Louisiana,South,Cameras ,Nikon,29,2
11/28/2016,Connecticut,East,Mobile Phones,iPhone,7.16,2
8/26/2018,California,West,Cameras ,Nikon,176.8,8
7/16/2016,Texas,Central,Mobile Phones,OnePlus,37.224,3
7/16/2016,Texas,Central,Mobile Phones,Pixel,20.016,3
10/12/2019,New York,East,Laptops,Dell,899.136,4
10/12/2019,New York,East,Cameras ,Sony,71.76,6
10/12/2019,New York,East,Mobile Phones,Pixel,51.84,8
10/12/2019,New York,East,Laptops,Dell,626.352,3
10/12/2019,New York,East,Mobile Phones,LG,19.9,5
10/31/2019,California,West,Mobile Phones,Motorola ,14.28,7
3/21/2018,Ohio,East,Mobile Phones,LG,7.408,2
3/21/2018,Ohio,East,Mobile Phones,LG,6.048,3
11/6/2017,New Jersey,East,Mobile Phones,OnePlus,46.26,3
7/6/2017,Pennsylvania,East,Mobile Phones,iPhone,2.946,2
7/6/2017,Pennsylvania,East,Mobile Phones,Pixel,16.056,3
6/24/2017,Ohio,East,Mobile Phones,Pixel,21.744,3
8/3/2018,Colorado,West,Laptops,Lenovo,218.75,2
8/3/2018,Colorado,West,Mobile Phones,Samsung,2.6,1
12/17/2017,Texas,Central,Mobile Phones,Samsung,66.284,2
6/3/2017,Tennessee,South,Laptops,Asus,35.168,7
12/9/2017,California,West,Cameras ,Sony,444.768,4
12/1/2017,Michigan,Central,Mobile Phones,OnePlus,83.92,4
12/1/2017,Michigan,Central,Cameras ,Sony,131.98,2
12/1/2017,Michigan,Central,Mobile Phones,iPhone,15.92,4
12/1/2017,Michigan,Central,Mobile Phones,Nokia,52.29,9
12/1/2017,Michigan,Central,Mobile Phones,OnePlus,91.99,1
2/9/2019,Texas,Central,Cameras ,Nikon,20.8,2
1/2/2019,Ohio,East,Mobile Phones,HTC,23.68,2
1/2/2019,Ohio,East,Laptops,Dell,452.45,5
1/2/2019,Ohio,East,Cameras ,Sony,62.982,3
1/2/2019,Ohio,East,Cameras ,Canon,1188,9
1/2/2019,Ohio,East,Cameras ,Nikon,89.584,2
10/28/2016,California,West,Mobile Phones,OnePlus,93.06,6
10/28/2016,California,West,Cameras ,Sony,302.376,3
12/24/2019,Ohio,East,Mobile Phones,Nokia,5.584,2
12/24/2019,Ohio,East,Mobile Phones,Pixel,22.704,6
12/24/2019,Ohio,East,Mobile Phones,iPhone,19.776,4
12/24/2019,Ohio,East,Laptops,Asus,72.704,4
12/24/2019,Ohio,East,Cameras ,Canon,479.988,4
12/24/2019,Ohio,East,Mobile Phones,LG,27.168,2
8/9/2019,Michigan,Central,Mobile Phones,LG,2.2,1
8/9/2019,Michigan,Central,Laptops,Lenovo,622.45,5
8/9/2019,Michigan,Central,Mobile Phones,OnePlus,21.98,1
2/28/2019,Tennessee,South,Laptops,HP,161.568,2
2/28/2019,Tennessee,South,Laptops,HP,389.696,8
9/13/2018,North Carolina,South,Mobile Phones,iPhone,18.648,7
4/7/2017,Florida,South,Laptops,Lenovo,233.86,2
4/7/2017,Florida,South,Laptops,Lenovo,620.6145,3
4/7/2017,Florida,South,Mobile Phones,iPhone,5.328,2
4/7/2017,Florida,South,Laptops,Asus,258.072,3
4/7/2017,Florida,South,Cameras ,Nikon,617.976,3
11/12/2017,California,West,Mobile Phones,Pixel,10.56,2
6/4/2016,Illinois,Central,Mobile Phones,Pixel,25.92,5
6/4/2016,Illinois,Central,Laptops,Asus,419.68,5
6/4/2016,Illinois,Central,Laptops,Asus,11.688,3
6/4/2016,Illinois,Central,Cameras ,Sony,31.984,2
6/4/2016,Illinois,Central,Laptops,Lenovo,177.225,5
6/4/2016,Illinois,Central,Laptops,Asus,4.044,3
6/4/2016,Illinois,Central,Mobile Phones,LG,7.408,2
6/1/2018,Minnesota,Central,Laptops,HP,2001.86,7
6/1/2018,Minnesota,Central,Mobile Phones,OnePlus,166.72,2
6/1/2018,Minnesota,Central,Mobile Phones,Pixel,47.88,6
6/1/2018,Minnesota,Central,Mobile Phones,Samsung,1503.25,5
6/1/2018,Minnesota,Central,Mobile Phones,Pixel,25.92,4
12/10/2016,California,West,Laptops,HP,321.568,2
9/11/2016,California,West,Mobile Phones,Pixel,7.61,1
9/11/2016,California,West,Cameras ,Nikon,3347.37,13
12/10/2016,New York,East,Mobile Phones,OnePlus,80.58,6
12/10/2016,New York,East,Mobile Phones,Motorola ,361.92,4
11/28/2019,Illinois,Central,Laptops,Asus,12.132,9
11/28/2019,Illinois,Central,Mobile Phones,OnePlus,82.368,2
11/28/2019,Illinois,Central,Mobile Phones,OnePlus,53.92,5
11/28/2019,Illinois,Central,Cameras ,Sony,647.904,6
12/1/2017,New York,East,Cameras ,Nikon,20.37,3
12/1/2017,New York,East,Mobile Phones,OnePlus,221.55,3
12/1/2017,New York,East,Mobile Phones,iPhone,17.52,5
6/8/2017,Texas,Central,Mobile Phones,Samsung,1.624,2
9/19/2018,Texas,Central,Cameras ,Canon,3059.982,3
9/19/2018,Texas,Central,Cameras ,Canon,2519.958,7
6/6/2016,Illinois,Central,Cameras ,Sony,328.224,4
11/10/2019,California,West,Cameras ,Nikon,79.9,2
6/16/2017,North Carolina,South,Mobile Phones,LG,14.016,3
1/22/2016,New Jersey,East,Mobile Phones,Nokia,7.56,6
12/9/2017,Ohio,East,Mobile Phones,OnePlus,37.208,1
12/9/2017,Ohio,East,Mobile Phones,Motorola ,57.576,3
12/28/2017,California,West,Mobile Phones,OnePlus,725.84,4
7/30/2019,California,West,Cameras ,Nikon,209.93,7
7/30/2019,California,West,Laptops,Asus,5.28,3
7/30/2019,California,West,Mobile Phones,iPhone,10.92,3
9/16/2017,California,West,Mobile Phones,Pixel,8.82,2
9/16/2017,California,West,Mobile Phones,LG,5.98,1
10/13/2017,Pennsylvania,East,Mobile Phones,Pixel,11.648,2
10/13/2017,Pennsylvania,East,Mobile Phones,Pixel,18.176,4
10/13/2017,Pennsylvania,East,Mobile Phones,OnePlus,59.712,6
10/13/2017,Pennsylvania,East,Mobile Phones,HTC,24.84,3
9/26/2019,Texas,Central,Mobile Phones,iPhone,2.08,5
9/26/2019,Texas,Central,Cameras ,Sony,1114.4,7
11/2/2019,California,West,Laptops,Lenovo,1038.84,5
9/26/2019,Oregon,West,Mobile Phones,Pixel,141.76,5
9/26/2019,Oregon,West,Cameras ,Nikon,239.8,5
9/26/2019,Oregon,West,Mobile Phones,Pixel,31.104,6
12/18/2016,Florida,South,Mobile Phones,iPhone,254.058,7
12/18/2016,Florida,South,Mobile Phones,Samsung,194.528,2
12/18/2016,Florida,South,Mobile Phones,Mi,961.48,5
11/20/2016,Ohio,East,Mobile Phones,Nokia,19.096,7
11/20/2016,Ohio,East,Mobile Phones,HTC,18.496,8
11/20/2016,Ohio,East,Cameras ,Nikon,255.984,2
11/20/2016,Ohio,East,Laptops,Dell,86.97,3
12/26/2018,Colorado,West,Laptops,Asus,300.416,8
12/26/2018,Colorado,West,Laptops,HP,230.352,3
12/26/2018,Colorado,West,Laptops,Asus,218.352,3
12/26/2018,Colorado,West,Mobile Phones,iPhone,78.6,5
12/26/2018,Colorado,West,Mobile Phones,Nokia,27.552,3
10/28/2016,New Jersey,East,Mobile Phones,Pixel,32.4,5
10/28/2016,New Jersey,East,Mobile Phones,OnePlus,1082.48,8
10/28/2016,New Jersey,East,Mobile Phones,Pixel,56.91,3
10/28/2016,New Jersey,East,Laptops,Asus,77.6,4
10/28/2016,New Jersey,East,Mobile Phones,iPhone,14.28,1
11/19/2017,Illinois,Central,Laptops,Lenovo,219.075,3
5/4/2019,New York,East,Laptops,Asus,26.8,2
12/30/2018,Michigan,Central,Mobile Phones,LG,9.84,3
6/1/2018,New Jersey,East,Mobile Phones,iPhone,45.48,3
6/1/2018,New Jersey,East,Mobile Phones,LG,289.2,6
4/15/2017,Virginia,South,Mobile Phones,LG,4.89,1
9/12/2016,Colorado,West,Laptops,Asus,15.136,4
9/12/2016,Colorado,West,Laptops,HP,466.768,2
9/12/2016,Colorado,West,Laptops,Asus,15.232,1
9/12/2016,Colorado,West,Mobile Phones,HTC,6.264,3
9/27/2018,New Jersey,East,Laptops,Asus,87.54,3
8/9/2018,Florida,South,Cameras ,Sony,178.384,2
8/9/2018,Florida,South,Mobile Phones,Pixel,15.552,3
12/28/2018,Pennsylvania,East,Mobile Phones,LG,99.136,4
11/4/2018,New York,East,Laptops,HP,135.882,1
11/4/2018,New York,East,Cameras ,Canon,3991.98,2
11/4/2018,New York,East,Cameras ,Sony,275.94,6
11/4/2018,New York,East,Cameras ,Nikon,360,4
11/4/2018,New York,East,Mobile Phones,OnePlus,43.57,1
9/19/2018,California,West,Mobile Phones,Nokia,7.16,2
4/23/2016,California,West,Mobile Phones,iPhone,251.52,6
4/23/2016,California,West,Cameras ,Nikon,99.99,1
11/3/2017,Tennessee,South,Laptops,Asus,15.992,1
8/30/2016,Pennsylvania,East,Cameras ,Sony,290.898,3
8/30/2016,Pennsylvania,East,Mobile Phones,OnePlus,54.224,2
8/30/2016,Pennsylvania,East,Laptops,HP,786.744,4
8/30/2016,Pennsylvania,East,Mobile Phones,HTC,100.24,10
8/30/2016,Pennsylvania,East,Mobile Phones,iPhone,37.764,6
4/25/2016,Pennsylvania,East,Cameras ,Sony,82.8,2
4/25/2016,Pennsylvania,East,Mobile Phones,iPhone,20.724,2
4/25/2016,Pennsylvania,East,Mobile Phones,iPhone,4.896,3
9/1/2019,California,West,Mobile Phones,iPhone,4.752,1
9/1/2019,California,West,Cameras ,GoPro,959.984,2
9/1/2019,California,West,Mobile Phones,iPhone,14.368,4
7/12/2018,California,West,Mobile Phones,iPhone,7.712,2
7/12/2018,California,West,Laptops,Lenovo,698.352,3
6/22/2019,Utah,West,Mobile Phones,Nokia,4.96,4
4/13/2018,Pennsylvania,East,Mobile Phones,LG,17.856,4
4/13/2018,Pennsylvania,East,Mobile Phones,iPhone,509.97,10
4/13/2018,Pennsylvania,East,Mobile Phones,Nokia,30.992,13
4/13/2018,Pennsylvania,East,Cameras ,Sony,71.928,12
12/20/2019,Texas,Central,Mobile Phones,OnePlus,88.8,4
6/15/2017,California,West,Cameras ,Sony,47.976,3
7/8/2017,Massachusetts,East,Mobile Phones,LG,7.56,3
7/8/2017,Massachusetts,East,Mobile Phones,Pixel,24.56,2
7/8/2017,Massachusetts,East,Mobile Phones,LG,12.96,2
9/1/2016,New York,East,Cameras ,Nikon,6.79,1
9/1/2016,New York,East,Mobile Phones,Pixel,24.56,2
9/1/2016,New York,East,Mobile Phones,iPhone,3.048,1
9/1/2016,New York,East,Mobile Phones,Pixel,49.12,4
9/1/2016,New York,East,Mobile Phones,iPhone,4355.168,4
4/8/2016,New York,East,Laptops,Dell,388.704,6
4/8/2016,New York,East,Mobile Phones,Motorola ,8.26,2
4/8/2016,New York,East,Mobile Phones,LG,17.04,4
4/8/2016,New York,East,Mobile Phones,Pixel,34.4,5
4/23/2016,North Carolina,South,Mobile Phones,Pixel,36.24,5
3/8/2017,Georgia,South,Mobile Phones,Samsung,647.84,8
3/8/2017,Georgia,South,Mobile Phones,HTC,20.7,2
9/25/2017,New York,East,Mobile Phones,HTC,20.7,2
9/25/2017,New York,East,Laptops,HP,488.646,3
9/25/2017,New York,East,Mobile Phones,LG,5.56,2
9/25/2017,New York,East,Laptops,Asus,47.12,8
9/24/2018,California,West,Mobile Phones,OnePlus,211.96,4
10/21/2016,Connecticut,East,Mobile Phones,iPhone,23.2,4
10/21/2016,Connecticut,East,Mobile Phones,Mi,7.36,2
10/21/2016,Connecticut,East,Mobile Phones,OnePlus,104.79,7
10/21/2016,Connecticut,East,Laptops,Dell,1043.92,4
5/29/2017,Texas,Central,Mobile Phones,Pixel,25.92,5
5/29/2017,Texas,Central,Mobile Phones,OnePlus,53.424,3
7/23/2018,Arizona,West,Mobile Phones,iPhone,8.16,5
7/23/2018,Arizona,West,Cameras ,Nikon,1023.936,8
7/23/2018,Arizona,West,Mobile Phones,LG,9.24,1
7/23/2018,Arizona,West,Cameras ,Nikon,479.04,10
9/28/2016,Illinois,Central,Mobile Phones,Pixel,99.136,4
8/27/2017,Massachusetts,East,Laptops,Lenovo,1488.424,7
4/28/2019,Texas,Central,Mobile Phones,Samsung,8.652,3
4/28/2019,Texas,Central,Mobile Phones,OnePlus,23.832,3
4/28/2019,Texas,Central,Mobile Phones,iPhone,12.176,4
10/28/2016,California,West,Mobile Phones,Pixel,50.96,7
10/28/2016,California,West,Mobile Phones,iPhone,49.536,3
6/26/2019,Michigan,Central,Cameras ,Nikon,41.9,2
11/27/2019,Florida,South,Laptops,Lenovo,375.4575,3
11/27/2019,Florida,South,Cameras ,Nikon,83.976,3
12/3/2019,Pennsylvania,East,Cameras ,Canon,482.34,4
12/3/2019,Pennsylvania,East,Laptops,Asus,2.96,1
11/24/2018,Ohio,East,Mobile Phones,LG,2.624,1
12/11/2017,New York,East,Mobile Phones,iPhone,23.36,4
12/11/2017,New York,East,Cameras ,Nikon,39.98,2
9/21/2018,Washington,West,Cameras ,Sony,246.384,2
9/21/2018,Washington,West,Cameras ,GoPro,1799.97,3
6/7/2018,Illinois,Central,Mobile Phones,iPhone,12.462,3
6/30/2017,Nevada,West,Mobile Phones,iPhone,75.792,3
10/17/2017,Rhode Island,East,Mobile Phones,OnePlus,49.96,2
10/17/2017,Rhode Island,East,Mobile Phones,Pixel,12.96,2
10/31/2019,Michigan,Central,Mobile Phones,Mi,70.12,4
9/8/2016,Texas,Central,Mobile Phones,OnePlus,35.952,3
9/8/2016,Texas,Central,Laptops,Dell,2396.2656,4
9/8/2016,Texas,Central,Mobile Phones,OnePlus,131.136,4
9/8/2016,Texas,Central,Cameras ,Nikon,57.584,2
12/24/2018,Florida,South,Mobile Phones,Pixel,9.568,2
4/16/2018,North Carolina,South,Mobile Phones,LG,39.072,6
12/24/2017,New York,East,Mobile Phones,Samsung,35.91,3
12/8/2017,California,West,Cameras ,Nikon,179.95,5
12/8/2017,California,West,Cameras ,GoPro,1199.976,3
12/8/2017,California,West,Mobile Phones,Pixel,27.15,5
12/8/2017,California,West,Laptops,Lenovo,1004.024,7
12/8/2017,California,West,Mobile Phones,Pixel,9.68,1
12/8/2017,California,West,Mobile Phones,HTC,28.35,9
12/8/2017,California,West,Mobile Phones,Pixel,55.98,1
12/8/2017,California,West,Laptops,Dell,1336.829,13
12/8/2017,California,West,Laptops,HP,113.568,2
11/3/2017,Washington,West,Mobile Phones,Pixel,139.86,7
11/3/2017,Washington,West,Laptops,HP,307.136,4
6/24/2017,California,West,Mobile Phones,LG,95.92,8
4/14/2016,California,West,Laptops,HP,383.8,5
11/6/2017,Kentucky,South,Mobile Phones,Pixel,5.78,1
3/4/2017,California,West,Mobile Phones,LG,9.32,4
3/4/2017,California,West,Mobile Phones,Motorola ,15.25,1
6/22/2018,Colorado,West,Cameras ,Nikon,196.752,6
10/19/2017,Massachusetts,East,Laptops,Asus,56.56,4
10/19/2017,Massachusetts,East,Mobile Phones,OnePlus,32.7,3
8/21/2017,Mississippi,South,Laptops,HP,866.4,4
11/23/2017,Michigan,Central,Laptops,Asus,28.4,2
11/23/2017,Michigan,Central,Mobile Phones,iPhone,287.92,8
9/12/2018,New York,East,Cameras ,Canon,69.99,1
10/1/2017,Texas,Central,Mobile Phones,LG,6.672,6
4/15/2016,North Carolina,South,Mobile Phones,iPhone,189.588,2
4/15/2016,North Carolina,South,Cameras ,Nikon, 16GB,408.744
4/15/2016,North Carolina,South,Cameras ,Nikon, 16GB,291.96
4/15/2016,North Carolina,South,Mobile Phones,OnePlus,4.768,2
6/6/2016,Massachusetts,East,Mobile Phones,OnePlus,714.3,5
12/19/2018,Florida,South,Mobile Phones,iPhone,4.812,2
12/19/2018,Florida,South,Cameras ,Nikon,247.8,5
6/12/2016,Illinois,Central,Cameras ,Canon,1007.979,3
6/12/2016,Illinois,Central,Mobile Phones,Pixel,313.488,7
9/15/2017,Texas,Central,Mobile Phones,Pixel,31.872,8
1/20/2017,New York,East,Laptops,HP,207.846,3
9/5/2016,Michigan,Central,Laptops,Asus,12.22,1
9/5/2016,Michigan,Central,Mobile Phones,OnePlus,194.94,3
9/5/2016,Michigan,Central,Mobile Phones,OnePlus,70.95,3
9/5/2016,Michigan,Central,Mobile Phones,Pixel,91.36,4
