Date,State,Region,Category,Sales,Quantity
11/24/2019,California,West,Laptops,79.76,4
4/30/2019,Illinois,Central,Laptops,213.115,5
12/5/2018,Arizona,West,Mobile Phones,1113.024,8
12/5/2018,Arizona,West,Cameras ,167.968,4
6/4/2016,Virginia,South,Mobile Phones,75.88,2
9/18/2016,New York,East,Mobile Phones,4.616,1
9/14/2017,Michigan,Central,Mobile Phones,19.05,3
4/26/2019,Tennessee,South,Laptops,831.936,8
4/26/2019,Tennessee,South,Laptops,97.04,2
4/26/2019,Tennessee,South,Mobile Phones,72.784,1
12/9/2017,Texas,Central,Mobile Phones,1.248,3
12/9/2017,Texas,Central,Laptops,9.708,3
12/9/2017,Texas,Central,Mobile Phones,27.24,3
11/26/2018,Texas,Central,Laptops,19.3,5
6/12/2016,Alabama,South,Mobile Phones,208.16,1
6/12/2016,Alabama,South,Mobile Phones,16.74,3
10/12/2018,California,West,Mobile Phones,14.9,5
10/12/2018,California,West,Mobile Phones,21.39,1
9/3/2019,North Carolina,South,Mobile Phones,200.984,7
11/13/2017,Illinois,Central,Mobile Phones,230.376,3
5/28/2017,South Carolina,South,Laptops,301.96,2
10/26/2017,Minnesota,Central,Cameras ,19.99,1
10/26/2017,Minnesota,Central,Mobile Phones,6.16,2
4/5/2016,Texas,Central,Mobile Phones,158.368,7
9/17/2016,California,West,Mobile Phones,20.1,3
9/17/2016,California,West,Cameras ,73.584,2
9/17/2016,California,West,Mobile Phones,6.48,1
1/31/2019,Minnesota,Central,Mobile Phones,12.96,2
1/31/2019,Minnesota,Central,Laptops,53.34,3
1/31/2019,Minnesota,Central,Mobile Phones,32.96,2
11/6/2017,Oregon,West,Mobile Phones,5.682,1
11/9/2017,New York,East,Laptops,96.53,7
6/17/2017,California,West,Mobile Phones,51.312,3
9/6/2016,Minnesota,Central,Mobile Phones,77.88,6
8/29/2016,Illinois,Central,Mobile Phones,64.624,7
8/29/2016,Illinois,Central,Cameras ,95.976,3
8/29/2016,Illinois,Central,Mobile Phones,1.788,3
12/1/2016,Minnesota,Central,Mobile Phones,23.92,4
11/13/2019,Colorado,West,Cameras ,238.896,6
11/13/2019,Colorado,West,Laptops,102.36,3
11/13/2019,Colorado,West,Mobile Phones,36.882,3
11/23/2017,North Carolina,South,Cameras ,74.112,8
11/23/2017,North Carolina,South,Cameras ,27.992,1
11/23/2017,North Carolina,South,Mobile Phones,3.304,1
10/15/2019,Illinois,Central,Cameras ,339.96,5
12/25/2017,New York,East,Laptops,41.96,2
11/3/2016,Iowa,Central,Mobile Phones,75.96,2
11/3/2016,Iowa,Central,Mobile Phones,27.24,6
8/25/2018,Ohio,East,Mobile Phones,40.096,14
8/25/2018,Ohio,East,Mobile Phones,4.72,2
8/25/2018,Ohio,East,Mobile Phones,23.976,3
8/25/2018,Ohio,East,Mobile Phones,130.464,6
3/2/2019,Washington,West,Laptops,787.53,3
4/5/2019,Tennessee,South,Mobile Phones,157.794,1
6/12/2016,Delaware,East,Laptops,47.04,3
6/12/2016,Delaware,East,Mobile Phones,30.84,4
6/12/2016,Delaware,East,Mobile Phones,226.56,6
6/12/2016,Delaware,East,Mobile Phones,115.02,9
6/12/2016,Delaware,East,Cameras ,68.04,7
12/26/2018,Texas,Central,Laptops,600.558,3
9/20/2018,Illinois,Central,Laptops,617.7,6
11/5/2017,Arizona,West,Mobile Phones,2.388,2
11/5/2017,Arizona,West,Mobile Phones,243.992,7
11/6/2016,California,West,Laptops,81.424,2
11/6/2016,California,West,Laptops,238.56,3
2/2/2017,Ohio,East,Cameras ,59.97,5
2/2/2017,Ohio,East,Mobile Phones,78.304,2
2/2/2017,Ohio,East,Mobile Phones,21.456,9
10/13/2016,California,West,Mobile Phones,20.04,3
10/13/2016,California,West,Mobile Phones,35.44,1
10/13/2016,California,West,Mobile Phones,11.52,4
10/13/2016,California,West,Mobile Phones,4.02,2
10/13/2016,California,West,Mobile Phones,76.176,3
10/13/2016,California,West,Mobile Phones,65.88,6
10/13/2016,California,West,Laptops,43.12,14
9/5/2016,Pennsylvania,East,Laptops,82.8,2
9/18/2017,California,West,Mobile Phones,8.82,3
9/18/2017,California,West,Mobile Phones,10.86,3
9/18/2017,California,West,Mobile Phones,143.7,3
12/22/2017,Missouri,Central,Mobile Phones,839.43,3
9/7/2019,California,West,Mobile Phones,671.93,7
10/22/2018,Ohio,East,Laptops,93.888,4
12/5/2016,Wisconsin,Central,Cameras ,384.45,11
12/5/2016,Wisconsin,Central,Cameras ,149.97,3
12/5/2016,Wisconsin,Central,Laptops,1951.84,8
12/5/2016,Wisconsin,Central,Mobile Phones,171.55,5
3/13/2016,Arizona,West,Mobile Phones,157.92,5
3/13/2016,Arizona,West,Cameras ,203.184,2
5/31/2019,California,West,Mobile Phones,58.38,7
5/31/2019,California,West,Mobile Phones,105.52,4
5/31/2019,California,West,Mobile Phones,80.88,6
5/28/2019,Washington,West,Mobile Phones,6.63,3
3/1/2018,Washington,West,Laptops,457.568,2
11/20/2016,Oklahoma,Central,Mobile Phones,14.62,2
11/20/2016,Oklahoma,Central,Cameras ,944.93,7
5/11/2016,California,West,Mobile Phones,5.98,1
12/28/2019,Pennsylvania,East,Cameras ,54.384,2
11/16/2016,New Mexico,West,Mobile Phones,28.4,5
11/7/2016,Washington,West,Mobile Phones,27.68,2
9/8/2018,Texas,Central,Mobile Phones,9.936,3
9/8/2018,Texas,Central,Cameras ,8159.952,8
9/8/2018,Texas,Central,Mobile Phones,275.928,3
9/8/2018,Texas,Central,Laptops,1740.06,9
9/8/2018,Texas,Central,Mobile Phones,32.064,6
9/8/2018,Texas,Central,Mobile Phones,177.98,5
9/8/2018,Texas,Central,Cameras ,143.976,3
8/5/2018,California,West,Mobile Phones,20.94,3
8/5/2018,California,West,Mobile Phones,110.96,2
8/5/2018,California,West,Laptops,340.144,7
9/14/2018,Illinois,Central,Mobile Phones,52.448,2
9/14/2018,Illinois,Central,Mobile Phones,20.16,4
4/21/2017,Texas,Central,Mobile Phones,97.264,4
11/21/2019,Ohio,East,Laptops,396.802,7
11/21/2019,Ohio,East,Mobile Phones,15.88,5
12/15/2019,New York,East,Mobile Phones,3.28,1
12/5/2018,Illinois,Central,Mobile Phones,24.816,2
12/5/2018,Illinois,Central,Cameras , 16GB,408.744
11/19/2018,Louisiana,South,Cameras ,503.96,4
11/19/2018,Louisiana,South,Cameras ,149.95,5
11/19/2018,Louisiana,South,Cameras ,29,2
11/28/2016,Connecticut,East,Mobile Phones,7.16,2
8/26/2018,California,West,Cameras ,176.8,8
7/16/2016,Texas,Central,Mobile Phones,37.224,3
7/16/2016,Texas,Central,Mobile Phones,20.016,3
10/12/2019,New York,East,Laptops,899.136,4
10/12/2019,New York,East,Cameras ,71.76,6
10/12/2019,New York,East,Mobile Phones,51.84,8
10/12/2019,New York,East,Laptops,626.352,3
10/12/2019,New York,East,Mobile Phones,19.9,5
10/31/2019,California,West,Mobile Phones,14.28,7
3/21/2018,Ohio,East,Mobile Phones,7.408,2
3/21/2018,Ohio,East,Mobile Phones,6.048,3
11/6/2017,New Jersey,East,Mobile Phones,46.26,3
7/6/2017,Pennsylvania,East,Mobile Phones,2.946,2
7/6/2017,Pennsylvania,East,Mobile Phones,16.056,3
6/24/2017,Ohio,East,Mobile Phones,21.744,3
8/3/2018,Colorado,West,Laptops,218.75,2
8/3/2018,Colorado,West,Mobile Phones,2.6,1
12/17/2017,Texas,Central,Mobile Phones,66.284,2
6/3/2017,Tennessee,South,Laptops,35.168,7
12/9/2017,California,West,Cameras ,444.768,4
12/1/2017,Michigan,Central,Mobile Phones,83.92,4
12/1/2017,Michigan,Central,Cameras ,131.98,2
12/1/2017,Michigan,Central,Mobile Phones,15.92,4
12/1/2017,Michigan,Central,Mobile Phones,52.29,9
12/1/2017,Michigan,Central,Mobile Phones,91.99,1
2/9/2019,Texas,Central,Cameras ,20.8,2
1/2/2019,Ohio,East,Mobile Phones,23.68,2
1/2/2019,Ohio,East,Laptops,452.45,5
1/2/2019,Ohio,East,Cameras ,62.982,3
1/2/2019,Ohio,East,Cameras ,1188,9
1/2/2019,Ohio,East,Cameras ,89.584,2
10/28/2016,California,West,Mobile Phones,93.06,6
10/28/2016,California,West,Cameras ,302.376,3
12/24/2019,Ohio,East,Mobile Phones,5.584,2
12/24/2019,Ohio,East,Mobile Phones,22.704,6
12/24/2019,Ohio,East,Mobile Phones,19.776,4
12/24/2019,Ohio,East,Laptops,72.704,4
12/24/2019,Ohio,East,Cameras ,479.988,4
12/24/2019,Ohio,East,Mobile Phones,27.168,2
8/9/2019,Michigan,Central,Mobile Phones,2.2,1
8/9/2019,Michigan,Central,Laptops,622.45,5
8/9/2019,Michigan,Central,Mobile Phones,21.98,1
2/28/2019,Tennessee,South,Laptops,161.568,2
2/28/2019,Tennessee,South,Laptops,389.696,8
9/13/2018,North Carolina,South,Mobile Phones,18.648,7
4/7/2017,Florida,South,Laptops,233.86,2
4/7/2017,Florida,South,Laptops,620.6145,3
4/7/2017,Florida,South,Mobile Phones,5.328,2
4/7/2017,Florida,South,Laptops,258.072,3
4/7/2017,Florida,South,Cameras ,617.976,3
11/12/2017,California,West,Mobile Phones,10.56,2
6/4/2016,Illinois,Central,Mobile Phones,25.92,5
6/4/2016,Illinois,Central,Laptops,419.68,5
6/4/2016,Illinois,Central,Laptops,11.688,3
6/4/2016,Illinois,Central,Cameras ,31.984,2
6/4/2016,Illinois,Central,Laptops,177.225,5
6/4/2016,Illinois,Central,Laptops,4.044,3
6/4/2016,Illinois,Central,Mobile Phones,7.408,2
6/1/2018,Minnesota,Central,Laptops,2001.86,7
6/1/2018,Minnesota,Central,Mobile Phones,166.72,2
6/1/2018,Minnesota,Central,Mobile Phones,47.88,6
6/1/2018,Minnesota,Central,Mobile Phones,1503.25,5
6/1/2018,Minnesota,Central,Mobile Phones,25.92,4
12/10/2016,California,West,Laptops,321.568,2
9/11/2016,California,West,Mobile Phones,7.61,1
9/11/2016,California,West,Cameras ,3347.37,13
12/10/2016,New York,East,Mobile Phones,80.58,6
12/10/2016,New York,East,Mobile Phones,361.92,4
11/28/2019,Illinois,Central,Laptops,12.132,9
11/28/2019,Illinois,Central,Mobile Phones,82.368,2
11/28/2019,Illinois,Central,Mobile Phones,53.92,5
11/28/2019,Illinois,Central,Cameras ,647.904,6
12/1/2017,New York,East,Cameras ,20.37,3
12/1/2017,New York,East,Mobile Phones,221.55,3
12/1/2017,New York,East,Mobile Phones,17.52,5
6/8/2017,Texas,Central,Mobile Phones,1.624,2
9/19/2018,Texas,Central,Cameras ,3059.982,3
9/19/2018,Texas,Central,Cameras ,2519.958,7
6/6/2016,Illinois,Central,Cameras ,328.224,4
11/10/2019,California,West,Cameras ,79.9,2
6/16/2017,North Carolina,South,Mobile Phones,14.016,3
1/22/2016,New Jersey,East,Mobile Phones,7.56,6
12/9/2017,Ohio,East,Mobile Phones,37.208,1
12/9/2017,Ohio,East,Mobile Phones,57.576,3
12/28/2017,California,West,Mobile Phones,725.84,4
7/30/2019,California,West,Cameras ,209.93,7
7/30/2019,California,West,Laptops,5.28,3
7/30/2019,California,West,Mobile Phones,10.92,3
9/16/2017,California,West,Mobile Phones,8.82,2
9/16/2017,California,West,Mobile Phones,5.98,1
10/13/2017,Pennsylvania,East,Mobile Phones,11.648,2
10/13/2017,Pennsylvania,East,Mobile Phones,18.176,4
10/13/2017,Pennsylvania,East,Mobile Phones,59.712,6
10/13/2017,Pennsylvania,East,Mobile Phones,24.84,3
9/26/2019,Texas,Central,Mobile Phones,2.08,5
9/26/2019,Texas,Central,Cameras ,1114.4,7
11/2/2019,California,West,Laptops,1038.84,5
9/26/2019,Oregon,West,Mobile Phones,141.76,5
9/26/2019,Oregon,West,Cameras ,239.8,5
9/26/2019,Oregon,West,Mobile Phones,31.104,6
12/18/2016,Florida,South,Mobile Phones,254.058,7
12/18/2016,Florida,South,Mobile Phones,194.528,2
12/18/2016,Florida,South,Mobile Phones,961.48,5
11/20/2016,Ohio,East,Mobile Phones,19.096,7
11/20/2016,Ohio,East,Mobile Phones,18.496,8
11/20/2016,Ohio,East,Cameras ,255.984,2
11/20/2016,Ohio,East,Laptops,86.97,3
12/26/2018,Colorado,West,Laptops,300.416,8
12/26/2018,Colorado,West,Laptops,230.352,3
12/26/2018,Colorado,West,Laptops,218.352,3
12/26/2018,Colorado,West,Mobile Phones,78.6,5
12/26/2018,Colorado,West,Mobile Phones,27.552,3
10/28/2016,New Jersey,East,Mobile Phones,32.4,5
10/28/2016,New Jersey,East,Mobile Phones,1082.48,8
10/28/2016,New Jersey,East,Mobile Phones,56.91,3
10/28/2016,New Jersey,East,Laptops,77.6,4
10/28/2016,New Jersey,East,Mobile Phones,14.28,1
11/19/2017,Illinois,Central,Laptops,219.075,3
5/4/2019,New York,East,Laptops,26.8,2
12/30/2018,Michigan,Central,Mobile Phones,9.84,3
6/1/2018,New Jersey,East,Mobile Phones,45.48,3
6/1/2018,New Jersey,East,Mobile Phones,289.2,6
4/15/2017,Virginia,South,Mobile Phones,4.89,1
9/12/2016,Colorado,West,Laptops,15.136,4
9/12/2016,Colorado,West,Laptops,466.768,2
9/12/2016,Colorado,West,Laptops,15.232,1
9/12/2016,Colorado,West,Mobile Phones,6.264,3
9/27/2018,New Jersey,East,Laptops,87.54,3
8/9/2018,Florida,South,Cameras ,178.384,2
8/9/2018,Florida,South,Mobile Phones,15.552,3
12/28/2018,Pennsylvania,East,Mobile Phones,99.136,4
11/4/2018,New York,East,Laptops,135.882,1
11/4/2018,New York,East,Cameras ,3991.98,2
11/4/2018,New York,East,Cameras ,275.94,6
11/4/2018,New York,East,Cameras ,360,4
11/4/2018,New York,East,Mobile Phones,43.57,1
9/19/2018,California,West,Mobile Phones,7.16,2
4/23/2016,California,West,Mobile Phones,251.52,6
4/23/2016,California,West,Cameras ,99.99,1
11/3/2017,Tennessee,South,Laptops,15.992,1
8/30/2016,Pennsylvania,East,Cameras ,290.898,3
8/30/2016,Pennsylvania,East,Mobile Phones,54.224,2
8/30/2016,Pennsylvania,East,Laptops,786.744,4
8/30/2016,Pennsylvania,East,Mobile Phones,100.24,10
8/30/2016,Pennsylvania,East,Mobile Phones,37.764,6
4/25/2016,Pennsylvania,East,Cameras ,82.8,2
4/25/2016,Pennsylvania,East,Mobile Phones,20.724,2
4/25/2016,Pennsylvania,East,Mobile Phones,4.896,3
9/1/2019,California,West,Mobile Phones,4.752,1
9/1/2019,California,West,Cameras ,959.984,2
9/1/2019,California,West,Mobile Phones,14.368,4
7/12/2018,California,West,Mobile Phones,7.712,2
7/12/2018,California,West,Laptops,698.352,3
6/22/2019,Utah,West,Mobile Phones,4.96,4
4/13/2018,Pennsylvania,East,Mobile Phones,17.856,4
4/13/2018,Pennsylvania,East,Mobile Phones,509.97,10
4/13/2018,Pennsylvania,East,Mobile Phones,30.992,13
4/13/2018,Pennsylvania,East,Cameras ,71.928,12
12/20/2019,Texas,Central,Mobile Phones,88.8,4
6/15/2017,California,West,Cameras ,47.976,3
7/8/2017,Massachusetts,East,Mobile Phones,7.56,3
7/8/2017,Massachusetts,East,Mobile Phones,24.56,2
7/8/2017,Massachusetts,East,Mobile Phones,12.96,2
9/1/2016,New York,East,Cameras ,6.79,1
9/1/2016,New York,East,Mobile Phones,24.56,2
9/1/2016,New York,East,Mobile Phones,3.048,1
9/1/2016,New York,East,Mobile Phones,49.12,4
9/1/2016,New York,East,Mobile Phones,4355.168,4
4/8/2016,New York,East,Laptops,388.704,6
4/8/2016,New York,East,Mobile Phones,8.26,2
4/8/2016,New York,East,Mobile Phones,17.04,4
4/8/2016,New York,East,Mobile Phones,34.4,5
4/23/2016,North Carolina,South,Mobile Phones,36.24,5
3/8/2017,Georgia,South,Mobile Phones,647.84,8
3/8/2017,Georgia,South,Mobile Phones,20.7,2
9/25/2017,New York,East,Mobile Phones,20.7,2
9/25/2017,New York,East,Laptops,488.646,3
9/25/2017,New York,East,Mobile Phones,5.56,2
9/25/2017,New York,East,Laptops,47.12,8
9/24/2018,California,West,Mobile Phones,211.96,4
10/21/2016,Connecticut,East,Mobile Phones,23.2,4
10/21/2016,Connecticut,East,Mobile Phones,7.36,2
10/21/2016,Connecticut,East,Mobile Phones,104.79,7
10/21/2016,Connecticut,East,Laptops,1043.92,4
5/29/2017,Texas,Central,Mobile Phones,25.92,5
5/29/2017,Texas,Central,Mobile Phones,53.424,3
7/23/2018,Arizona,West,Mobile Phones,8.16,5
7/23/2018,Arizona,West,Cameras ,1023.936,8
7/23/2018,Arizona,West,Mobile Phones,9.24,1
7/23/2018,Arizona,West,Cameras ,479.04,10
9/28/2016,Illinois,Central,Mobile Phones,99.136,4
8/27/2017,Massachusetts,East,Laptops,1488.424,7
4/28/2019,Texas,Central,Mobile Phones,8.652,3
4/28/2019,Texas,Central,Mobile Phones,23.832,3
4/28/2019,Texas,Central,Mobile Phones,12.176,4
10/28/2016,California,West,Mobile Phones,50.96,7
10/28/2016,California,West,Mobile Phones,49.536,3
6/26/2019,Michigan,Central,Cameras ,41.9,2
11/27/2019,Florida,South,Laptops,375.4575,3
11/27/2019,Florida,South,Cameras ,83.976,3
12/3/2019,Pennsylvania,East,Cameras ,482.34,4
12/3/2019,Pennsylvania,East,Laptops,2.96,1
11/24/2018,Ohio,East,Mobile Phones,2.624,1
12/11/2017,New York,East,Mobile Phones,23.36,4
12/11/2017,New York,East,Cameras ,39.98,2
9/21/2018,Washington,West,Cameras ,246.384,2
9/21/2018,Washington,West,Cameras ,1799.97,3
6/7/2018,Illinois,Central,Mobile Phones,12.462,3
6/30/2017,Nevada,West,Mobile Phones,75.792,3
10/17/2017,Rhode Island,East,Mobile Phones,49.96,2
10/17/2017,Rhode Island,East,Mobile Phones,12.96,2
10/31/2019,Michigan,Central,Mobile Phones,70.12,4
9/8/2016,Texas,Central,Mobile Phones,35.952,3
9/8/2016,Texas,Central,Laptops,2396.2656,4
9/8/2016,Texas,Central,Mobile Phones,131.136,4
9/8/2016,Texas,Central,Cameras ,57.584,2
12/24/2018,Florida,South,Mobile Phones,9.568,2
4/16/2018,North Carolina,South,Mobile Phones,39.072,6
12/24/2017,New York,East,Mobile Phones,35.91,3
12/8/2017,California,West,Cameras ,179.95,5
12/8/2017,California,West,Cameras ,1199.976,3
12/8/2017,California,West,Mobile Phones,27.15,5
12/8/2017,California,West,Laptops,1004.024,7
12/8/2017,California,West,Mobile Phones,9.68,1
12/8/2017,California,West,Mobile Phones,28.35,9
12/8/2017,California,West,Mobile Phones,55.98,1
12/8/2017,California,West,Laptops,1336.829,13
12/8/2017,California,West,Laptops,113.568,2
11/3/2017,Washington,West,Mobile Phones,139.86,7
11/3/2017,Washington,West,Laptops,307.136,4
6/24/2017,California,West,Mobile Phones,95.92,8
4/14/2016,California,West,Laptops,383.8,5
11/6/2017,Kentucky,South,Mobile Phones,5.78,1
3/4/2017,California,West,Mobile Phones,9.32,4
3/4/2017,California,West,Mobile Phones,15.25,1
6/22/2018,Colorado,West,Cameras ,196.752,6
10/19/2017,Massachusetts,East,Laptops,56.56,4
10/19/2017,Massachusetts,East,Mobile Phones,32.7,3
8/21/2017,Mississippi,South,Laptops,866.4,4
11/23/2017,Michigan,Central,Laptops,28.4,2
11/23/2017,Michigan,Central,Mobile Phones,287.92,8
9/12/2018,New York,East,Cameras ,69.99,1
10/1/2017,Texas,Central,Mobile Phones,6.672,6
4/15/2016,North Carolina,South,Mobile Phones,189.588,2
4/15/2016,North Carolina,South,Cameras , 16GB,408.744
4/15/2016,North Carolina,South,Cameras , 16GB,291.96
4/15/2016,North Carolina,South,Mobile Phones,4.768,2
6/6/2016,Massachusetts,East,Mobile Phones,714.3,5
12/19/2018,Florida,South,Mobile Phones,4.812,2
12/19/2018,Florida,South,Cameras ,247.8,5
6/12/2016,Illinois,Central,Cameras ,1007.979,3
6/12/2016,Illinois,Central,Mobile Phones,313.488,7
9/15/2017,Texas,Central,Mobile Phones,31.872,8
1/20/2017,New York,East,Laptops,207.846,3
9/5/2016,Michigan,Central,Laptops,12.22,1
9/5/2016,Michigan,Central,Mobile Phones,194.94,3
9/5/2016,Michigan,Central,Mobile Phones,70.95,3
9/5/2016,Michigan,Central,Mobile Phones,91.36,4
9/5/2016,Michigan,Central,Laptops,242.94,3
9/5/2016,Michigan,Central,Mobile Phones,22.05,7
3/20/2017,Indiana,Central,Laptops,2.91,1
4/1/2016,New York,East,Mobile Phones,59.52,3
4/1/2016,New York,East,Mobile Phones,161.94,3
4/1/2016,New York,East,Mobile Phones,263.88,6
4/1/2016,New York,East,Mobile Phones,30.48,3
4/1/2016,New York,East,Mobile Phones,9.84,3
4/1/2016,New York,East,Cameras ,35.12,4
10/20/2017,Ohio,East,Laptops,284.364,2
10/20/2017,Ohio,East,Mobile Phones,665.408,2
12/13/2016,Oklahoma,Central,Cameras ,63.88,4
2/12/2018,California,West,Laptops,129.568,2
9/26/2016,Illinois,Central,Laptops,747.558,3
9/26/2016,Illinois,Central,Mobile Phones,8.928,2
12/15/2019,Washington,West,Mobile Phones,103.92,4
12/15/2019,Washington,West,Cameras ,899.91,9
12/15/2019,Washington,West,Mobile Phones,51.312,3
4/22/2016,Arizona,West,Laptops,23.56,5
4/22/2016,Arizona,West,Laptops,1272.63,6
4/22/2016,Arizona,West,Mobile Phones,28.485,5
4/22/2016,Arizona,West,Mobile Phones,185.376,2
4/22/2016,Arizona,West,Mobile Phones,78.272,2
1/17/2019,Illinois,Central,Laptops,254.744,7
3/31/2017,Texas,Central,Laptops,205.3328,2
12/16/2016,Illinois,Central,Mobile Phones,4.788,3
12/20/2019,New York,East,Mobile Phones,55.48,1
11/9/2018,California,West,Mobile Phones,340.92,3
11/9/2018,California,West,Laptops,222.666,2
11/9/2018,California,West,Cameras ,703.968,4
11/9/2018,California,West,Mobile Phones,92.52,6
11/9/2018,California,West,Mobile Phones,62.65,7
11/9/2018,California,West,Mobile Phones,94.85,5
7/12/2016,California,West,Cameras ,95.76,6
10/27/2016,New York,East,Laptops,40.2,3
6/26/2016,New York,East,Mobile Phones,14.7,5
6/26/2016,New York,East,Mobile Phones,704.25,5
10/6/2018,California,West,Cameras ,9.09,3
7/22/2018,New York,East,Mobile Phones,5.96,2
7/22/2018,New York,East,Cameras ,159.98,2
6/10/2017,California,West,Mobile Phones,29.6,2
6/10/2017,California,West,Laptops,514.165,5
6/10/2017,California,West,Cameras ,279.96,5
10/29/2018,Illinois,Central,Cameras ,2735.952,6
6/9/2018,Texas,Central,Cameras ,7.992,1
6/9/2018,Texas,Central,Cameras ,63.984,2
6/9/2018,Texas,Central,Mobile Phones,70.368,2
9/14/2018,New York,East,Mobile Phones,449.15,5
9/14/2018,New York,East,Mobile Phones,11.07,3
5/9/2016,Washington,West,Cameras ,93.98,2
3/18/2016,Tennessee,South,Laptops,189.882,3
12/27/2019,Arkansas,South,Mobile Phones,105.42,2
7/25/2016,California,West,Mobile Phones,119.616,8
7/25/2016,California,West,Laptops,255.76,4
7/25/2016,California,West,Laptops,241.568,2
7/25/2016,California,West,Laptops,69.3,9
5/30/2016,Colorado,West,Mobile Phones,22.62,2
5/30/2016,Colorado,West,Mobile Phones,14.952,2
5/30/2016,Colorado,West,Laptops,801.568,2
5/30/2016,Colorado,West,Mobile Phones,2.376,3
5/30/2016,Colorado,West,Mobile Phones,32.792,1
11/12/2017,New York,East,Mobile Phones,15.92,5
3/16/2019,Georgia,South,Mobile Phones,2.74,1
3/16/2019,Georgia,South,Mobile Phones,8.34,3
3/16/2019,Georgia,South,Mobile Phones,46.74,3
3/16/2019,Georgia,South,Mobile Phones,6354.95,5
11/26/2017,Missouri,Central,Laptops,126.3,3
11/26/2017,Missouri,Central,Cameras ,38.04,2
10/20/2016,Ohio,East,Mobile Phones,7.152,3
12/21/2017,California,West,Mobile Phones,6.63,3
12/21/2017,California,West,Mobile Phones,5.88,2
1/22/2017,Montana,West,Cameras ,2999.95,5
1/22/2017,Montana,West,Mobile Phones,51.45,3
1/22/2017,Montana,West,Mobile Phones,11.96,2
1/22/2017,Montana,West,Mobile Phones,1126.02,3
3/22/2019,Texas,Central,Cameras ,18.392,1
3/22/2019,Texas,Central,Mobile Phones,129.568,2
3/22/2019,Texas,Central,Mobile Phones,14.112,9
1/23/2017,Michigan,Central,Laptops,210.98,2
