Date,Sales
9/14/2018,52.448
9/14/2018,20.16
4/21/2017,97.264
11/21/2019,396.802
11/21/2019,15.88
12/15/2019,3.28
12/5/2018,24.816
12/5/2018, 16GB
11/19/2018,503.96
11/19/2018,149.95
11/19/2018,29
11/28/2016,7.16
8/26/2018,176.8
7/16/2016,37.224
7/16/2016,20.016
10/12/2019,899.136
10/12/2019,71.76
10/12/2019,51.84
10/12/2019,626.352
10/12/2019,19.9
10/31/2019,14.28
3/21/2018,7.408
3/21/2018,6.048
11/6/2017,46.26
7/6/2017,2.946
7/6/2017,16.056
6/24/2017,21.744
8/3/2018,218.75
8/3/2018,2.6
12/17/2017,66.284
6/3/2017,35.168
12/9/2017,444.768
12/1/2017,83.92
12/1/2017,131.98
12/1/2017,15.92
12/1/2017,52.29
12/1/2017,91.99
2/9/2019,20.8
1/2/2019,23.68
1/2/2019,452.45
1/2/2019,62.982
1/2/2019,1188
1/2/2019,89.584
10/28/2016,93.06
10/28/2016,302.376
12/24/2019,5.584
12/24/2019,22.704
12/24/2019,19.776
12/24/2019,72.704
12/24/2019,479.988
12/24/2019,27.168
8/9/2019,2.2
8/9/2019,622.45
8/9/2019,21.98
2/28/2019,161.568
2/28/2019,389.696
9/13/2018,18.648
4/7/2017,233.86
4/7/2017,620.6145
4/7/2017,5.328
4/7/2017,258.072
4/7/2017,617.976
11/12/2017,10.56
6/4/2016,25.92
6/4/2016,419.68
6/4/2016,11.688
6/4/2016,31.984
6/4/2016,177.225
6/4/2016,4.044
6/4/2016,7.408
6/1/2018,2001.86
6/1/2018,166.72
6/1/2018,47.88
6/1/2018,1503.25
6/1/2018,25.92
12/10/2016,321.568
9/11/2016,7.61
9/11/2016,3347.37
12/10/2016,80.58
12/10/2016,361.92
11/28/2019,12.132
11/28/2019,82.368
11/28/2019,53.92
11/28/2019,647.904
12/1/2017,20.37
12/1/2017,221.55
12/1/2017,17.52
6/8/2017,1.624
9/19/2018,3059.982
9/19/2018,2519.958
6/6/2016,328.224
11/10/2019,79.9
6/16/2017,14.016
1/22/2016,7.56
12/9/2017,37.208
12/9/2017,57.576
12/28/2017,725.84
7/30/2019,209.93
7/30/2019,5.28
7/30/2019,10.92
9/16/2017,8.82
9/16/2017,5.98
10/13/2017,11.648
10/13/2017,18.176
10/13/2017,59.712
10/13/2017,24.84
9/26/2019,2.08
9/26/2019,1114.4
11/2/2019,1038.84
9/26/2019,141.76
9/26/2019,239.8
9/26/2019,31.104
12/18/2016,254.058
12/18/2016,194.528
12/18/2016,961.48
11/20/2016,19.096
11/20/2016,18.496
11/20/2016,255.984
11/20/2016,86.97
12/26/2018,300.416
12/26/2018,230.352
12/26/2018,218.352
12/26/2018,78.6
12/26/2018,27.552
10/28/2016,32.4
10/28/2016,1082.48
10/28/2016,56.91
10/28/2016,77.6
10/28/2016,14.28
11/19/2017,219.075
5/4/2019,26.8
12/30/2018,9.84
6/1/2018,45.48
6/1/2018,289.2
4/15/2017,4.89
9/12/2016,15.136
9/12/2016,466.768
9/12/2016,15.232
9/12/2016,6.264
9/27/2018,87.54
8/9/2018,178.384
8/9/2018,15.552
12/28/2018,99.136
11/4/2018,135.882
11/4/2018,3991.98
11/4/2018,275.94
11/4/2018,360
11/4/2018,43.57
9/19/2018,7.16
4/23/2016,251.52
4/23/2016,99.99
11/3/2017,15.992
8/30/2016,290.898
8/30/2016,54.224
8/30/2016,786.744
8/30/2016,100.24
8/30/2016,37.764
4/25/2016,82.8
4/25/2016,20.724
4/25/2016,4.896
9/1/2019,4.752
9/1/2019,959.984
9/1/2019,14.368
7/12/2018,7.712
7/12/2018,698.352
6/22/2019,4.96
4/13/2018,17.856
4/13/2018,509.97
4/13/2018,30.992
4/13/2018,71.928
12/20/2019,88.8
6/15/2017,47.976
7/8/2017,7.56
7/8/2017,24.56
7/8/2017,12.96
9/1/2016,6.79
9/1/2016,24.56
9/1/2016,3.048
9/1/2016,49.12
9/1/2016,4355.168
4/8/2016,388.704
4/8/2016,8.26
4/8/2016,17.04
4/8/2016,34.4
4/23/2016,36.24
3/8/2017,647.84
3/8/2017,20.7
9/25/2017,20.7
9/25/2017,488.646
9/25/2017,5.56
9/25/2017,47.12
9/24/2018,211.96
10/21/2016,23.2
10/21/2016,7.36
10/21/2016,104.79
10/21/2016,1043.92
5/29/2017,25.92
5/29/2017,53.424
7/23/2018,8.16
7/23/2018,1023.936
7/23/2018,9.24
7/23/2018,479.04
9/28/2016,99.136
8/27/2017,1488.424
4/28/2019,8.652
4/28/2019,23.832
4/28/2019,12.176
10/28/2016,50.96
10/28/2016,49.536
6/26/2019,41.9
11/27/2019,375.4575
11/27/2019,83.976
12/3/2019,482.34
12/3/2019,2.96
11/24/2018,2.624
12/11/2017,23.36
12/11/2017,39.98
9/21/2018,246.384
9/21/2018,1799.97
6/7/2018,12.462
6/30/2017,75.792
10/17/2017,49.96
10/17/2017,12.96
10/31/2019,70.12
9/8/2016,35.952
9/8/2016,2396.2656
9/8/2016,131.136
9/8/2016,57.584
12/24/2018,9.568
4/16/2018,39.072
12/24/2017,35.91
12/8/2017,179.95
12/8/2017,1199.976
12/8/2017,27.15
12/8/2017,1004.024
12/8/2017,9.68
12/8/2017,28.35
12/8/2017,55.98
12/8/2017,1336.829
12/8/2017,113.568
11/3/2017,139.86
11/3/2017,307.136
6/24/2017,95.92
4/14/2016,383.8
11/6/2017,5.78
3/4/2017,9.32
3/4/2017,15.25
6/22/2018,196.752
10/19/2017,56.56
10/19/2017,32.7
8/21/2017,866.4
11/23/2017,28.4
11/23/2017,287.92
9/12/2018,69.99
10/1/2017,6.672
4/15/2016,189.588
4/15/2016, 16GB
4/15/2016, 16GB
4/15/2016,4.768
6/6/2016,714.3
12/19/2018,4.812
12/19/2018,247.8
6/12/2016,1007.979
6/12/2016,313.488
9/15/2017,31.872
1/20/2017,207.846
9/5/2016,12.22
9/5/2016,194.94
9/5/2016,70.95
9/5/2016,91.36
9/5/2016,242.94
9/5/2016,22.05
3/20/2017,2.91
4/1/2016,59.52
4/1/2016,161.94
4/1/2016,263.88
4/1/2016,30.48
4/1/2016,9.84
4/1/2016,35.12
10/20/2017,284.364
10/20/2017,665.408
12/13/2016,63.88
2/12/2018,129.568
9/26/2016,747.558
9/26/2016,8.928
12/15/2019,103.92
12/15/2019,899.91
12/15/2019,51.312
4/22/2016,23.56
4/22/2016,1272.63
4/22/2016,28.485
4/22/2016,185.376
4/22/2016,78.272
1/17/2019,254.744
3/31/2017,205.3328
12/16/2016,4.788
12/20/2019,55.48
11/9/2018,340.92
11/9/2018,222.666
11/9/2018,703.968
11/9/2018,92.52
11/9/2018,62.65
11/9/2018,94.85
7/12/2016,95.76
10/27/2016,40.2
6/26/2016,14.7
6/26/2016,704.25
10/6/2018,9.09
7/22/2018,5.96
7/22/2018,159.98
6/10/2017,29.6
6/10/2017,514.165
6/10/2017,279.96
10/29/2018,2735.952
6/9/2018,7.992
6/9/2018,63.984
6/9/2018,70.368
9/14/2018,449.15
9/14/2018,11.07
5/9/2016,93.98
3/18/2016,189.882
12/27/2019,105.42
7/25/2016,119.616
7/25/2016,255.76
7/25/2016,241.568
7/25/2016,69.3
5/30/2016,22.62
5/30/2016,14.952
5/30/2016,801.568
5/30/2016,2.376
5/30/2016,32.792
11/12/2017,15.92
3/16/2019,2.74
3/16/2019,8.34
3/16/2019,46.74
3/16/2019,6354.95
11/26/2017,126.3
11/26/2017,38.04
10/20/2016,7.152
12/21/2017,6.63
12/21/2017,5.88
1/22/2017,2999.95
1/22/2017,51.45
1/22/2017,11.96
1/22/2017,1126.02
3/22/2019,18.392
3/22/2019,129.568
3/22/2019,14.112
1/23/2017,210.98
5/21/2016,55.176
5/21/2016,66.26
12/26/2019,22.2
10/21/2017,683.952
10/21/2017,45.696
9/3/2019,36.336
9/3/2019,666.248
9/3/2019,52.512
11/7/2019,190.72
9/7/2017,47.94
5/29/2016,979.95
5/29/2016,22.75
7/10/2016,16.768
9/3/2017,42.616
12/3/2019,10.752
12/7/2019,152.94
12/7/2019,283.92
2/1/2018,468.9
7/14/2016,380.864
12/18/2019,646.776
5/11/2018,58.112
5/11/2018,100.792
5/11/2018,66.112
11/19/2017,41.28
11/19/2017,13.36
11/15/2019,250.272
11/15/2019,11.364
11/15/2019,8.72
4/15/2016,1121.568
9/11/2017,34.504
11/24/2017,10.824
6/29/2017,1295.78
3/3/2018,19.456
6/10/2016,20.7
6/10/2016,1335.68
6/10/2016,32.4
11/20/2017,42.6
11/20/2017,84.056
9/14/2018,13
9/14/2018,13.128
12/7/2019,3.96
12/7/2019,2.61
12/7/2017,374.376
10/1/2017,91.84
10/1/2017,81.088
10/1/2017,19.44
10/1/2017,451.152
12/28/2017,72.45
12/28/2017,13.96
12/28/2017,33.264
12/28/2017,14.85
11/3/2016,8.82
9/18/2019,160.72
9/18/2019,19.92
9/18/2019,7.3
7/20/2017,69.712
7/20/2017,8.792
9/10/2019,51.52
12/1/2017,470.376
12/1/2017,105.584
12/1/2017,31.152
12/1/2017,6.783
12/1/2017,406.368
7/3/2019,70.98
7/3/2019,294.93
3/20/2016,84.784
3/20/2016,20.736
3/20/2016,16.821
3/20/2016,10.368
1/9/2018,9.344
1/9/2018,31.2
8/8/2018,76.12
8/8/2018,1199.976
8/8/2018,445.96
8/8/2018,327.76
7/14/2016,11.632
7/16/2016,143.982
7/16/2016,494.376
7/16/2016,5.84
3/15/2018,142.776
3/15/2018,45.696
3/15/2018,7.218
3/15/2018,43.188
3/15/2018,131.904
5/23/2018,3.282
5/23/2018,21.168
5/23/2018,55.188
4/28/2016,369.576
4/28/2016,15.712
9/11/2016,8.448
9/11/2016,728.946
11/14/2017,119.94
11/14/2017,3.648
8/18/2017,40.48
8/18/2017,9.94
8/18/2017,107.424
8/18/2017,37.91
8/18/2017,88.02
12/26/2018,8.69
11/29/2019,301.96
11/29/2019,555.21
11/29/2019,523.48
11/29/2019,161.82
9/15/2017,35.56
5/19/2017,97.16
12/17/2017,15.24
12/17/2017,13.23
12/11/2016,243.384
12/11/2016,119.8
12/11/2016,300.768
9/24/2017,17.88
9/24/2017,235.944
10/4/2019,392.94
8/15/2016,18.882
8/15/2016,122.328
5/20/2016,1049.2
5/20/2016,15.424
12/18/2016,18.84
7/30/2017,330.4
7/30/2017,26.25
6/10/2017,132.52
7/21/2017,6.48
12/30/2017,209.3
4/1/2016,31.56
4/1/2016,30.144
12/11/2016,14.8
12/11/2016,302.376
12/11/2016,316
10/23/2016,379.4
6/19/2017,97.82
6/19/2017,103.12
8/22/2016,113.552
8/22/2016,3.318
8/22/2016,134.288
9/19/2016,701.372
9/19/2016,2.308
8/24/2019,999.432
8/24/2019,724.08
8/24/2019,918.785
8/24/2019,2.724
3/26/2016,459.95
11/4/2016,10.74
6/8/2017,23.76
6/8/2017,85.056
6/8/2017,381.576
12/24/2018,30.36
6/9/2017,23.976
6/9/2017,108.925
6/9/2017,36.352
6/15/2017,19.56
12/5/2017,61.44
12/5/2017,38.9
12/5/2017,99.39
3/18/2017,2.688
3/18/2017,27.816
3/18/2017,82.524
3/18/2017,182.994
11/19/2016,14.352
11/19/2016,64.96
11/19/2016,68.6
11/4/2017,7999.98
11/4/2017,167.44
7/5/2018,479.97
7/5/2018,14.62
7/5/2018,19.44
12/25/2017,191.984
6/21/2018,104.01
6/21/2018,284.82
6/21/2018,36.84
3/28/2019,166.24
3/28/2019,33.4
5/14/2019,198.272
5/14/2019,47.36
5/14/2019,200.984
5/14/2019,97.696
5/14/2019,2.696
5/14/2019,18.588
5/14/2019,4.896
9/2/2017,15.072
11/4/2016,209.88
4/9/2019,369.912
9/12/2018,10.368
9/12/2018,166.84
9/12/2018,15.216
12/2/2018,119.96
12/2/2018,883.92
12/2/2018,46.72
4/5/2018,55.48
9/3/2017,24.448
5/19/2017,281.34
5/19/2017,307.98
5/19/2017,299.97
7/1/2018,19.92
1/11/2018,9.94
9/24/2017,103.056
6/2/2018,59.808
6/2/2018,73.32
2/13/2016,146.82
12/15/2016,1652.94
12/15/2016,296.37
10/7/2018,129.92
7/7/2016,45.584
9/16/2017,17.568
9/16/2017,55.992
12/3/2016,182.72
12/3/2016,400.032
12/3/2016,33.63
12/3/2016,542.646
12/3/2016,6.3
1/21/2017,242.94
1/21/2017,179.97
1/21/2017,99.696
1/21/2017,27.936
1/21/2017,84.98
1/21/2017,18.72
9/8/2018,49.98
1/4/2018,11.784
1/4/2018,272.736
1/4/2018,3.54
8/27/2016,51.52
8/27/2016,3.528
8/27/2016,4.624
8/27/2016,55.168
5/27/2018,567.12
5/27/2018,359.32
3/20/2016,11.992
10/2/2017,58.05
10/2/2017,157.74
10/2/2017,56.98
10/2/2017,2.88
4/7/2016,1199.976
12/7/2019,79.92
9/18/2016,383.438
12/29/2018,24.56
12/29/2018,119.8
7/23/2017,13.128
9/18/2017,22.72
8/31/2019,58.32
11/3/2017,12.39
2/8/2019,107.982
1/13/2018,11.36
1/13/2018,50.94
1/13/2018,646.74
1/13/2018,5.64
1/13/2018,572.58
5/14/2018,310.88
5/19/2016,641.96
1/30/2017,18.28
1/30/2017,207
1/30/2017,32.35
1/30/2017,7.71
1/30/2017,40.3
1/30/2017,34.58
6/29/2018,32.76
8/21/2019,544.008
8/21/2019,59.94
8/21/2019,23.92
8/21/2019,4.28
10/3/2019,32.07
10/3/2019,24
10/3/2019,35.49
10/3/2019,47.984
5/23/2019,186.69
3/17/2017,17.456
12/12/2019,348.928
6/26/2019,143.96
6/26/2019,15.42
6/26/2019,43.04
6/26/2019,332.94
5/20/2016,1363.96
9/20/2018,9.96
9/20/2018,21.72
9/21/2017,20.16
12/24/2019,132.79
12/24/2019,12.96
12/24/2019,21.56
11/27/2019,283.92
2/20/2017,22.23
2/20/2017,215.968
8/18/2016,355.32
3/12/2016,12.96
4/22/2017,18.28
11/1/2018,43.176
11/1/2018,1983.968
2/3/2019,28.4
2/3/2019,149.97
10/13/2018,11.52
10/13/2018,1298.55
10/13/2018,213.92
10/13/2018,25.78
5/14/2017,18.28
5/14/2017,1399.93
3/20/2019,51.84
9/15/2016,5.344
6/28/2018,41.472
6/28/2018,3.168
6/28/2018,1228.465
6/28/2018,31.086
6/28/2018,335.52
6/20/2017,239.97
6/20/2017,9.82
5/9/2018,67.8
5/9/2018,167.97
8/21/2017,35
8/21/2017,37.24
8/21/2017,15.28
6/16/2017,301.96
6/16/2017,180.66
6/16/2017,191.98
6/16/2017,65.99
7/23/2016,35.216
7/23/2016,23.696
7/23/2016,265.475
9/8/2018,51.184
11/4/2017,9.664
3/7/2016,21.072
11/20/2019,60.45
11/20/2019,11.52
11/20/2019,186.048
11/7/2016,37.44
11/7/2016,26.976
11/7/2016,11.36
11/7/2016,14.62
10/13/2019,83.72
10/13/2019,287.94
1/1/2017,48.896
2/7/2018,115.36
6/20/2016,5.16
6/20/2016,38.88
5/28/2016,185.88
2/19/2016,44.46
2/19/2016,242.94
8/3/2018,39.96
8/3/2018,102.3
8/3/2018,21.36
4/10/2017,7.61
4/10/2017,7.16
6/9/2018,7.36
6/9/2018,23.1
1/5/2016,191.472
1/5/2016,5.248
1/5/2016,59.184
1/10/2018,2.89
1/10/2018,51.94
9/29/2016,15.936
4/6/2018,44.91
9/3/2016,1141.47
9/3/2016,280.782
10/19/2019,34.44
12/10/2018,11.36
12/10/2018,106.344
8/25/2017,192.16
1/17/2016,322.59
1/17/2016,29.99
1/17/2016,371.97
9/17/2018,5.892
11/30/2017,68.472
11/30/2017,1242.9
10/9/2019,30.84
12/23/2017,13.48
10/22/2016,31.4
4/29/2018,17.46
4/25/2019,13.944
6/26/2017,83.76
10/14/2017,37.66
12/9/2018,34.68
6/20/2017,149.95
6/20/2017,51.312
6/26/2017,4.54
6/26/2017,15.92
6/26/2017,543.92
11/10/2016,155.82
11/10/2016,70.008
10/3/2016,15.648
9/9/2018,103.6
10/29/2017,46.96
4/10/2016,8.904
11/11/2017,10.44
11/11/2017,18.336
9/15/2017,323.976
4/8/2016,20.04
4/8/2016,64.96
4/8/2016,12.96
12/30/2017,323.136
12/30/2017,90.93
12/30/2017,52.776
9/2/2017,1199.8
9/2/2017,1928.78
9/2/2017,352.38
5/31/2019,22.2
11/27/2017,46.94
11/27/2017,143.73
6/15/2018,99.918
6/15/2018,797.944
6/15/2018,8.568
3/5/2016,149.352
3/5/2016,12.992
12/5/2018,24.56
4/11/2019,85.14
4/11/2019,21.99
4/11/2019,406.6
9/15/2016,841.568
9/13/2018,15.552
9/13/2018,252
10/5/2019,46.2
10/5/2019,28.84
4/14/2017,14.592
4/14/2017,89.856
4/14/2017,13.872
9/2/2017,12.192
6/20/2016,45.056
6/20/2016,29.718
6/20/2016,15.552
6/20/2016,447.696
11/5/2017,159.99
12/13/2019,12.96
12/13/2019,134.48
6/19/2016,17.12
12/13/2016,6.096
12/13/2016,1114.272
5/29/2019,32.4
5/29/2019,540.57
5/29/2019,167.76
7/26/2019,393.165
11/28/2017,516.488
11/28/2017,1007.232
11/28/2017,2065.32
11/28/2017,15.552
11/28/2017,25.344
4/3/2017,25.472
12/28/2017,27.168
12/28/2017,78.8528
11/30/2017,173.8
5/15/2017,29.592
5/15/2017,4.752
5/15/2017,15.552
9/22/2019,204.6
11/14/2017,321.568
11/27/2019,6.24
9/1/2016,21.88
9/22/2018,4.608
4/9/2017,9.82
4/9/2017,35.97
4/9/2017,12.96
4/9/2017,191.6
4/9/2017,8.64
4/9/2017,501.81
1/16/2018,127.104
1/16/2018,124.2
1/16/2018,18.588
1/16/2018,30.072
10/5/2017,160.93
10/5/2017,75.792
7/9/2017,1.08
1/7/2017,3059.982
5/30/2016,3.282
12/9/2019,34.02
10/3/2016,599.292
11/11/2018,3.392
11/11/2018,559.984
11/11/2018,603.92
9/29/2017,7.968
9/29/2017,27.968
9/29/2017,336.51
3/10/2019,1.112
5/21/2017,520.05
5/21/2017,17.97
3/29/2019,1166.92
9/9/2016,14.624
8/26/2016,10.23
8/26/2016,154.9
5/21/2018,2715.93
5/21/2018,617.97
10/28/2019,10.67
10/28/2019,36.63
10/28/2019,24.1
10/28/2019,33.11
11/13/2016,44.02
7/31/2019,2309.65
7/31/2019,1090.782
7/31/2019,19.44
8/27/2019,484.65
11/13/2019,115.296
11/6/2019,7.08
11/6/2019,4.401
12/26/2017,44.75
8/1/2017,95.984
11/24/2018,151.72
6/17/2017,155.25
6/17/2017,14.03
12/21/2019,1618.37
12/21/2019,99.6
9/17/2019,32.4
7/6/2019,13.96
7/6/2019,155.82
7/6/2019,124.95
7/6/2019,601.65
4/27/2019,22.74
4/27/2019,1267.53
4/27/2019,1379.92
6/16/2019,6.208
12/17/2017,11.808
1/11/2016,15.552
1/11/2016,63.312
1/11/2016,15.588
7/11/2018,177.2
7/11/2018,197.97
7/11/2018,854.94
7/11/2018,124.11
7/11/2018,14.4
11/20/2016,15.696
11/20/2016,2.628
11/20/2016,14.427
4/22/2016,86.62
6/13/2019,36.624
11/20/2017,23.968
11/20/2017,28.728
3/20/2016,697.16
9/6/2016,31.86
9/6/2016,722.352
7/9/2017,8.84
7/9/2017,58.464
10/12/2017,254.604
3/8/2016,1363.96
3/8/2016,102.36
5/27/2018,1113.504
5/27/2018,99.99
7/3/2019,168.464
7/3/2019,6.72
7/3/2019,282.888
4/4/2019,11.16
4/4/2019,108.4
4/4/2019,82.344
4/4/2019,9.088
12/10/2017,19.936
12/10/2017,65.568
11/24/2016,4.416
3/23/2019,107.772
4/16/2019,45.216
4/16/2019,10.416
4/16/2019,7.872
4/16/2019,118.782
4/16/2019,1.448
4/16/2019,55.47
10/1/2016,194.848
9/28/2017,1.744
7/25/2019,25.176
11/20/2019,19.46
4/28/2016,29.472
11/14/2017,8.64
11/12/2016,6.27
11/12/2016,4.368
11/12/2016,31.984
9/29/2016,40.88
9/23/2017,119.96
9/23/2017,31.44
9/23/2017,6.88
11/29/2019,19.92
11/29/2019,1106.91
3/1/2016,836.592
3/1/2016,26.38
3/1/2016,362.92
3/1/2016,4899.93
8/12/2016,6.48
8/15/2016,71.976
8/15/2016,3.15
6/4/2017,31.984
6/4/2017,71.984
12/6/2019,120.15
12/6/2019,219.184
12/27/2019,28.9
12/27/2019,355.96
1/21/2017,348.208
1/21/2017,35.784
6/25/2018,447.84
6/14/2016,7.04
6/14/2016,8.73
6/14/2016,29.29
6/14/2016,8.64
4/21/2017,2.694
4/21/2017,2.934
10/21/2016,22.92
11/19/2016,100.704
11/19/2016,2.328
11/19/2016,10.78
11/19/2016,58.368
11/19/2016,40.968
11/19/2016,71.96
11/19/2016,10.368
11/19/2016,1.192
12/18/2017,46.672
12/18/2017,119.833
12/18/2017,119.98
7/22/2016,6.3
9/4/2019,279.9
9/4/2019,619.95
9/4/2019,4.36
9/4/2019,15.28
1/20/2018,699.93
1/20/2018,22.96
1/20/2018,38.6
1/20/2018,6.63
1/20/2018,23.34
1/20/2018,1067.94
3/2/2019,10.16
3/2/2019,101.88
4/12/2016,343.92
4/12/2016,40.99
4/12/2016,63.9
12/6/2016,19.44
6/5/2016,124.608
6/5/2016,7.56
12/11/2016,85.224
11/12/2016,287.52
11/12/2016,37.68
11/12/2016,19.98
11/12/2016,20.58
11/12/2016,17.38
9/29/2018,204.6
9/29/2018,8.72
9/29/2018,6.48
9/29/2018,686.32
9/29/2018,62.18
4/4/2019,644.076
4/4/2019,5.84
4/4/2019,12.76
4/4/2019,10.95
4/4/2019,599.98
5/8/2019,8.352
12/31/2016,3.64
12/31/2016,159.768
12/20/2018,122.48
12/20/2018,2244.48
12/20/2018,62.31
12/20/2018,455.1
7/2/2016,195.184
6/29/2017,362.94
6/29/2017,11.54
9/1/2018,53.94
3/3/2018,9.99
3/3/2018,125.76
3/3/2018,25.32
5/4/2018,46.8
11/2/2019,447.93
12/8/2017,109.48
12/8/2017,272.94
12/8/2017,19.44
12/8/2017,31.92
3/10/2018,22.38
4/21/2018,16.52
10/22/2019,5.176
8/22/2019,50.112
8/29/2016,27.93
12/27/2018,11.56
12/1/2016,172.5
12/1/2016,179.97
4/24/2016,258.696
6/21/2018,1322.93
6/21/2018,3.76
1/14/2017,21.744
1/14/2017,7.92
11/24/2018,12.096
11/24/2018,485.88
11/24/2018,25.92
11/24/2018,197.58
2/26/2017,81.92
2/26/2017,889.536
2/26/2017,892.224
2/26/2017,223.92
2/26/2017,23.12
9/15/2019,15.552
9/15/2019,15.712
9/15/2019,24.672
9/15/2019,55.968
4/8/2016,431.928
4/8/2016,95.984
4/8/2016,1088.792
7/18/2016,544.008
7/18/2016,1.872
7/18/2016,854.352
7/18/2016,593.568
7/18/2016,338.04
8/1/2017,271.96
7/14/2016,11.21
7/14/2016,9.144
7/14/2016,14.07
7/14/2016,41.86
7/14/2016,8.544
7/14/2016,579.136
9/9/2017,141.372
9/9/2017,3.036
9/9/2017,4.503
9/9/2017,4.672
9/9/2017,95.88
9/9/2017,17.024
9/9/2017,258.696
9/9/2017,1931.958
7/12/2018,249.75
7/12/2018,255.936
12/4/2016,113.79
12/4/2016,78.15
12/4/2016,1.728
12/4/2016,40.56
12/4/2016,182.94
12/4/2016,193.86
11/6/2017,15.28
11/6/2017,8.73
11/6/2017,5.68
10/31/2019,2.78
10/31/2019,79.96
5/30/2016,839.988
10/28/2016,47.952
10/28/2016,37.425
10/28/2016,63.968
10/28/2016,165.048
8/11/2018,12.35
8/11/2018,40.97
8/11/2018,22.96
8/29/2016,22
2/15/2016,398.352
2/15/2016,8.72
5/14/2017,48.69
12/12/2018,764.688
12/12/2018,3610.848
12/12/2018,254.9745
12/18/2017,38.82
12/18/2017,1141.938
12/18/2017,1704.56
12/18/2017,3.2
7/4/2019,1099.96
3/10/2017,5.248
3/10/2017,35.91
3/10/2017,6.696
3/10/2017,43.872
12/24/2016,27.882
12/24/2016,540.048
12/24/2016,255.68
10/23/2017,863.88
10/28/2016,17.616
7/7/2017,17.472
10/1/2016,69.9
10/1/2016,41.85
